name;address;sector
Kimia Farma 24 Apotek;Jalan Dharmawangsa 2460286 Kota Surabaya;Herbalist (Retail)
Kimia Farma 10 Apotek;Jalan Braga 240111 Klaten  - Kabupaten;Chemists
Gewinn Gold Hotama;Jalan Bunga Raya 317124 Kota Bekasi;Chemists
Apotek Kimia Farma 488;Komp. Ruko Tiban Impian 29432 Riau Islands;Chemists
Apotek Kimia Farma;Jl. W.J. Lalamentik 85369 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 202;Jalan Kejayaan 216415 Depok;Chemists
Apotek Kimia Farma;Jl. Pulau Nias 80115 Dompu  - Bali;Chemists
Rajawali Nusindo;Jl. Wolter Monginsidi 5490142 Jakarta Timur  - Makasar;Chemists
Kimia Farma Apotek;Jl. Hasanuddin 53 East Java;Chemists
Apotek Kimia Farma Gedangan;Jalan Jenderal Ahmad Yani 11961254 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma45;Jalan Raya Darmo 9460264 Kota Surabaya;Chemists
Apotek Kimia Farma;Jalan HR Soebrantas 9928125 Kota Pekanbaru;Chemists
Apotek Kimia Farma 100;Jl. Seraya 29432 Riau Islands;Chemists
Apotek Kimia Farma;Jalan Simo 7057432 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma;Jalan Jenderal Ahmad Yani 22860243 Kota Surabaya;Chemists
Klinik Kimia Farma 420;Jalan Adi Sumarmo 11457136 Surakarta;Chemists
Apotek Kimia Farma 138;Jalan Kyai Haji Agus Salim 3075117 Kota Samarinda;Chemists
Klinik Kimia Farma 79;Jalan Dewi Sartika 7957412 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 105;Jalan Dokter Sutomo 3675123 Kota Samarinda;Chemists
Apotek Kimia Farma;Jl. Citarum Raya 6050519 Klaten  - Kabupaten;Chemists
Melawai Apotik;Jalan Melawan 2111170 Jakarta;Chemists
Apotek Kimia Farma;Jalan Diponegoro 12584218 Dompu  - Bali;Chemists
Essity Hygiene And Health Indonesia;BSD Green Office Park 642527 Klaten  - Kabupaten;Chemists
Bronson & Jacobs Indonesia;Ji. MH Thamrin 15320 Kasemen  - Banten;Chemists
Spektris Metalab;Jalan Tanah Abang 1 1210160 Jakarta;Chemists
Kimia Farma Apotek;Jalan Budi Utomo 110710 Jakarta;Chemists
Erela;Jalan Erlangga Raya 950242 Kota Semarang;Chemists
Genecraft Labs;Business Park Kebon Jeruk  Jakarta;Chemists
Macrocitra Ardanasejati;Jl. Meruya Utara Kembangan 11620 Jakarta;Chemists
Apotek Kimia Farma;Jl. Hayam Wuruk 3280118 Dompu  - Bali;Chemists
Sumber Utama Kimiamurni;Ruko Klampis Square 60117 Kota Surabaya;Chemists
Widatra Bhakti;Wisma Tugu Raden Saleh 4410330 Jakarta;Chemists
Kimia Sakti Kalista;Ksk Building 1510150 Jakarta;Chemists
Pratama Jaya Perkasa;Jalan Klampis Jaya 15460117 Kota Surabaya;Chemists
Pertiwi Agung;Mensa 2 Building 2Nd Floor 12910 Jakarta;Chemists
Laboratorium Klinik Pramita;Jalan Adityawarman 7360242 Kota Surabaya;Chemists
Dragon Prima Farma;Jalan Kaligawe 350113 Kota Semarang;Chemists
Haes Brothers;Jalan Mayor Jenderal Sungkono 60225 Kota Surabaya;Chemists
Kinglab Indonesia;Karawaci Office Park 15139 Kota Tangerang;Chemists
Multi Instrumentasi Mandiri;Jalan Perintis Kemerdekaan 17850263 Kota Semarang;Chemists
Maneungteung Anugerah Mandiri;Jalan Bintara 9 4917136 Kota Bekasi;Chemists
Waris;Jalan Haji Ten 1 4113220 Jakarta;Chemists
Duta Kimia Internusa;Jalan Sagitarius 1 1340275 Kota Bandung;Chemists
Kanefusa Indonesia;Ejip Industrial Park Polt 17530 Klaten  - Kabupaten;Chemists
Indigo Studio;Ruko Klampis Square 60117 Kota Surabaya;Chemists
HERBAL ONLINE SURABAYA;Jalan Dukuh Gemol 1 160229 Surabaya;Chemists
Kimia Farma;Jalan C 3010620 Jakarta;Chemists
Apotek Kimia Farma Batu 8 Atas;Jl. Raja Haji Fisabilillah 829113 Riau Islands;Chemists
Klinik Kimia Farma 275;Jl. Kaliurang 655851 Kota Yogyakarta;Chemists
Kimia Farma;Jl. Gatot Subroto 12553272 Central Java;Chemists
Bio Medika Laboratorium Klinik Utama;Jalan Ciujung 1011430 Jakarta;Chemists
Apotek Kimia Farma;Jalan Palapa 94141 Kota Palu;Chemists
Kimia Farma Apotek;Jalan Lamongrejo 12562211 Klaten  - Kabupaten;Chemists
Anugerah Pharmindo Lestari;Jalan Kimia Farma 1013440 Jakarta Timur  - Makasar;Chemists
Apotek Kimia Farma 369;Jl. Tuparev 8545142 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma Taman Gapura Walk;Jalan Gapura Niaga 60217 Kota Surabaya;Chemists
Industri Jamu Borobudur;Jalan Tomang Tinggi 1111440 Jakarta;Chemists
Multi Medika Laboratory;Jalan Pasar 5 Barat 20371 Kabupaten Deli Serdang;Chemists
Gemari Sakti;Jalan Raden Intan 3535111 Kota Bandar Lampung;Chemists
Klinik Kimia Farma 320;Jl Cinunuk 19240213 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma;Jl. Jend. Sudirman 198454 Klaten  - Kabupaten;Chemists
Kimia Farma;Jl. Boulevard 8620229 Suboh  - Cemara;Chemists
Apotek Kimia Farma;Jl. Raya Sedati Gede 5961261 Klaten  - Kabupaten;Chemists
Duta Farma Apotik;Jalan Dukuh Kupang Raya 1860225 Kota Surabaya;Chemists
Apotek Kimia Farma;B Jl. Taman Kopo Indah Raya 9940218 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 55;Jalan Raya Kebayoran Lama 12220 Jakarta;Chemists
Apotek Kimia Farma;Jl. Laksda Adi Sucipto 14856352 Klaten  - Kabupaten;Chemists
Global Medik Persada;Jalan Kebon Jeruk Baru 2611530 Jakarta;Chemists
Klinik Kimia Farma 129;Jalan Jenderal Ahmad Yani 2695113 Kota Manado;Chemists
Apotek Joyoboyo;Jalan Erlangga 3464121 Kota Kediri;Chemists
Klinik Praga Medika;Jl. Jend. Sudirman 10245256 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 140;Jalan Sultan Ageng Tirtayasa 1242414 Kasemen  - Banten;Chemists
Regenesis Indonesia;Jalan Sultan Iskandar Muda 712240 Jakarta;Chemists
Apotek Kimia Farma;Jl. Abulyatama 29425 Riau Islands;Chemists
Kimia Farma;Jalan Srengseng Sawah 9912640 Jakarta;Chemists
Apotek Kimia Farma;Jl. Dr. Sutomo 929122 Kota Tanjung Pinang;Chemists
Apotek Prayogi;Jalan Kalianyar 6260161 Kota Surabaya;Chemists
Apotek Kimia Farma;Jl. Bengkong Ratu 29425 Riau Islands;Chemists
B. Braun Pharmaceutical Indonesia;Tempo Scan Tower 12950 Jakarta;Chemists
Apotek Kimia Farma;Jl. Raya Sesetan 16380232 Dompu  - Bali;Chemists
Kimia Farma Apotek;Jalan Anggrek 20157316 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma;Jalan Kediri 11217330 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma;Jalan DI Panjaitan 42411 Kota Cilegon;Chemists
Lab Kimia Farma Lampung;Jalan Gajah Mada 7635121 Kota Bandar Lampung;Chemists
Klinik Mitrasana Taman Aster;Jalan Aster 4117145 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 59;Jl. Iman Bonjol 129432 Riau Islands;Chemists
Apotek Kimia Farma Singadilaga;Jl. Ibrahim Singadilaga 6841174 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma 373;Jalan Rajawali 473112 Palangkaraya  - Palangka;Chemists
Apotek Kimia Farma Palem;Ruko Taman Palem Lestari 11730 Jakarta;Chemists
